ID,Edad,Ingresos,Categoria,Sentimiento,Comentario_answer,Comentario_arriv,Comentario_assembl,Comentario_averag,Comentario_bad,Comentario_ball,Comentario_batteri,Comentario_bought,Comentario_broke,Comentario_broken,Comentario_came,Comentario_camera,Comentario_cell,Comentario_charg,Comentario_color,Comentario_comfort,Comentario_cost,Comentario_custom,Comentario_day,Comentario_defi,Comentario_design,Comentario_didnt,Comentario_disappoint,Comentario_doesnt,Comentario_dog,Comentario_dollar,Comentario_dont,Comentario_easi,Comentario_effici,Comentario_enough,Comentario_excel,Comentario_expens,Comentario_fabric,Comentario_fade,Comentario_fail,Comentario_fast,Comentario_fine,Comentario_first,Comentario_fit,Comentario_get,Comentario_good,Comentario_grip,Comentario_guess,Comentario_heat,Comentario_home,Comentario_hot,Comentario_imag,Comentario_incred,Comentario_job,Comentario_keyboard,Comentario_kitchen,Comentario_last,Comentario_law,Comentario_long,Comentario_lot,Comentario_love,Comentario_made,Comentario_materi,Comentario_million,Comentario_miss,Comentario_modern,Comentario_money,Comentario_month,Comentario_mous,Comentario_noth,Comentario_okay,Comentario_order,Comentario_overal,Comentario_perfect,Comentario_phone,Comentario_physic,Comentario_piec,Comentario_play,Comentario_poor,Comentario_power,Comentario_practic,Comentario_pretti,Comentario_price,Comentario_print,Comentario_product,Comentario_purchas,Comentario_qualiti,Comentario_quick,Comentario_quiet,Comentario_recommend,Comentario_resist,Comentario_return,Comentario_rope,Comentario_run,Comentario_screen,Comentario_seam,Comentario_sent,Comentario_servic,Comentario_ship,Comentario_short,Comentario_shrank,Comentario_size,Comentario_slow,Comentario_small,Comentario_sneaker,Comentario_soft,Comentario_space,Comentario_spectacular,Comentario_store,Comentario_take,Comentario_terribl,Comentario_time,Comentario_took,Comentario_total,Comentario_train,Comentario_turn,Comentario_two,Comentario_unaccept,Comentario_uncomfort,Comentario_updat,Comentario_use,Comentario_valu,Comentario_warm,Comentario_wash,Comentario_well,Comentario_whole,Comentario_work,Comentario_worth,Comentario_wrong
1,0.295,-1.1443584468434211,3,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.495,0.04918860580616458,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.495,-0.3486604117436973,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.635,1.2427356584557503,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.355,-0.9852188398234762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.495,-0.3486604117436973,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
7,0.795,2.436282711105336,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.495,-0.3486604117436973,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.235,-1.3034980538633658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.695,-0.3486604117436973,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
